type,prompt,correct_answer,points,outcomes,marking_scheme
Multiple choice,"Which action provides the strongest evidence that a dataset is suitable for a decision?","Check its source, definitions, collection method and limitations",2,LO1,"2 marks for the complete provenance-and-quality check"
True / false,"A correlation between two variables, by itself, proves causation.",False,1,"LO1; LO3","1 mark for False"
Fill in,"The observations are 12, 15 and 18 minutes. Enter the arithmetic mean.",15,3,LO2,"Addition 1; division 1; correct answer with unit 1"
Matching,"Match each data-quality dimension to its meaning.","Completeness=required values present; Validity=values follow rules; Consistency=same definition; Timeliness=current enough",4,LO1,"1 mark per correct match"
Drag and drop,"Place each analysis step beside its purpose.","Inspect=understand fields; Clean=correct documented problems; Visualise=reveal pattern; Interpret=explain meaning and limits",4,"LO2; LO3","1 mark per correct placement"
Picture matching,"Match each pictured laboratory to the evidence it produces.","Science lab=measurements; Engineering bench=input-output evidence; Clinical simulation=safe sequence",3,"LO1; LO3","1 mark per correct match"
Video question,"Which statement describes responsible interpretation of a model output?","Document the data, assumptions, limits and intended use",2,"LO1; LO4","2 marks for the evidence-and-limitations response"
Short answer,"Communicate one finding and one limitation from the supplied chart.","Accurate non-causal finding plus a relevant limitation",4,LO3,"Finding 2; limitation 1; clear non-causal language 1"
Essay,"Evaluate whether the supplied dataset supports changing learner-support allocation.","Evidence-led evaluation with limitations and a proportionate recommendation",10,"LO1; LO3; LO4","Framing 2; evidence 3; limitations 2; ethics 1; recommendation 2"
Scenario response,"A manager asks you to remove dissatisfied respondents. What do you do?","Preserve valid responses, document legitimate rules, report sensitivity and escalate",6,LO4,"Integrity 2; provenance 2; sensitivity 1; escalation 1"
Oral defence prompt,"Defend one cleaning decision and one limitation in your notebook.","Traceable explanation consistent with the submitted evidence",8,"LO2; LO4","Decision 3; limitation 2; consistency 2; communication 1"
Evidence upload prompt,"Submit the cleaned data, notebook, chart and process log.","Four openable and consistently named files showing the analysis process",10,"LO2; LO3","Data 2; notebook 3; chart 2; process log 2; naming 1"
Practical assignment,"Complete the local data-decision capstone described in the brief.","Complete, ethical, reproducible evidence package",20,"LO2; LO3; LO4","Question/source 3; quality/ethics 4; analysis 4; visual 3; limits 2; recommendation 2; reflection 2"
